po_id,project_id,task_id,vendor,discipline,po_value,committed_cost,need_by_date,expected_delivery_date,delivery_status
P1003-PO021,P1003,P1003-T21,Desert Safety Supply,Instrumentation,150839.66,158904.13,2025-01-31,2025-02-03,Late Risk
P1003-PO022,P1003,P1003-T22,Mesa Steel,Instrumentation,76117.23,69170.01,2025-03-05,2025-03-02,On Track
P1003-PO023,P1003,P1003-T23,Sonoran Controls,Instrumentation,74328.95,77530.66,2025-04-05,2025-04-07,Late Risk
P1003-PO026,P1003,P1003-T26,Mesa Steel,Commissioning,112480.92,94845.18,2025-02-02,2025-01-31,On Track
P1003-PO027,P1003,P1003-T27,Sonoran Controls,Commissioning,80775.52,87378.48,2025-03-02,2025-02-28,On Track
P1003-PO028,P1003,P1003-T28,Desert Safety Supply,Commissioning,71210.13,65067.7,2025-04-05,2025-04-04,On Track
P1004-PO001,P1004,P1004-T01,Valley Civil,Civil,118730.52,89095.14,2025-03-22,2025-04-06,Late Risk
P1004-PO002,P1004,P1004-T02,Valley Civil,Civil,112833.41,85333.04,2025-04-16,2025-04-24,Late Risk
P1004-PO003,P1004,P1004-T03,Desert Safety Supply,Civil,105254.02,90099.32,2025-05-11,2025-05-12,Late Risk
P1004-PO006,P1004,P1004-T06,Desert Safety Supply,Structural,77603.66,64301.38,2025-03-11,2025-03-12,Late Risk
P1004-PO007,P1004,P1004-T07,Desert Safety Supply,Structural,97838.61,85897.89,2025-04-13,2025-04-18,Late Risk
P1004-PO008,P1004,P1004-T08,Desert Safety Supply,Structural,148922.13,113658.17,2025-05-10,2025-05-11,Late Risk
P1004-PO011,P1004,P1004-T11,Desert Safety Supply,Mechanical,52445.21,44681.6,2025-03-16,2025-03-21,Late Risk
P1004-PO012,P1004,P1004-T12,Desert Safety Supply,Mechanical,65609.84,69136.9,2025-04-17,2025-04-19,Late Risk
P1004-PO013,P1004,P1004-T13,Valley Civil,Mechanical,114341.59,91261.36,2025-05-14,2025-05-23,Late Risk
P1004-PO016,P1004,P1004-T16,Mesa Steel,Electrical,205759.39,164812.21,2025-03-22,2025-04-02,Late Risk
P1004-PO017,P1004,P1004-T17,Copperline Electric,Electrical,69330.68,62298,2025-04-14,2025-04-27,Late Risk
P1004-PO018,P1004,P1004-T18,Sonoran Controls,Electrical,108592.38,101891.26,2025-05-17,2025-05-18,Late Risk
P1004-PO021,P1004,P1004-T21,Copperline Electric,Instrumentation,78167.49,84079.24,2025-03-15,2025-03-22,Late Risk
P1004-PO022,P1004,P1004-T22,Apex Mechanical,Instrumentation,113969.44,115295.59,2025-04-18,2025-04-18,On Track
P1004-PO023,P1004,P1004-T23,Copperline Electric,Instrumentation,110444.45,97833.5,2025-05-09,2025-05-17,Late Risk
P1004-PO026,P1004,P1004-T26,Copperline Electric,Commissioning,72820.21,64707.53,2025-03-14,2025-03-29,Late Risk
P1004-PO027,P1004,P1004-T27,Mesa Steel,Commissioning,84477.34,72187.21,2025-04-13,2025-04-17,Late Risk
P1004-PO028,P1004,P1004-T28,Desert Safety Supply,Commissioning,159677.53,172890.93,2025-05-08,2025-05-15,Late Risk
